"Parque Lajeado - Izaura Pereira de Souza Franzolin. Flora: última atualização do Herbário Municipal (PMSP) em 15/07/2021
GRUPO / FAMÍLIA / Espécie";nome popular;fonte de dados;hábito;status de conservação;origem;guia
Myrciaria glazioviana (Kiaersk.) G.M.Barroso ex Sobral;cabeludinha;V;avt;;c;
Plinia peruviana (Poir.) Govaerts;jaboticabeira;V;avt;;d;
Psidium cattleyanum Sabine;araçá-comum;V;avt;;n;
Syzygium jambos (L.) Alston;jambeiro, jambo-amarelo;V;árv;;i;
NYCTAGINACEAE;;;;;;
Bougainvillea sp.;primavera, três-marias;V;tr;;n;
Guapira opposita (Vell.) Reitz;maria-mole;V;árv;;n;
OXALIDACEAE;;;;;;
Averrhoa carambola L.;carambola;V;avt;;c;
PHYTOLACCACEAE;;;;;;
Petiveria alliacea L.;guiné;V;suba;;s;
PIPERACEAE;;;;;;
Piper umbellatum L.;caapeba, pariparoba;V;arb;;n;
Piper sp.;jaborandi;V;arb;;n;
PITTOSPORACEAE;;;;;;
Pittosporum undulatum Vent.;"pitósporo-do- taiti, pau-
incenso";V;avt;;i;
POACEAE;;;;;;
Bambusa vulgaris Schrad. ex J.C.Wendl.;"bambu-
imperial";V;b;;s;
Hildaea pallens (Sw.) C.Silva & R.P.Oliveira;;H;era;;n;
Lasiacis divaricata (L.) Hitchc.;;H;b;;n;
Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs;capim-colonião;H;eces;;i;
Paspalum corcovadense Raddi;;H;eces;;n;
Phyllostachys aurea Carrière ex Rivière & C.Rivière;"bambu- japonês,
bambu-de- jardim";H;b;;i;
Pseudechinolaena polystachya (Kunth) Stapf;;H;era;;n;
Rugoloa pilosa (Sw.) Zuloaga;;H;era;;n;
Taquara micrantha (Kunth) I.L.C.Oliveira & R.P.Oliveira;;H;eces;;n;
PRIMULACEAE;;;;;;
Myrsine umbellata Mart.;capororoca;V;árv;;n;
RHAMNACEAE;;;;;;
Hovenia dulcis Thunb.;uva-japonesa;V;árv;;i;
ROSACEAE;;;;;;
Eriobotrya japonica (Thunb.) Lindl.;nespereira;V;avt;;i;
Rubus sp.;;V;arb;;n;
RUBIACEAE;;;;;;
Bathysa australis (A.St.-Hil.) K.Schum.;"caá-açu,
orelha-de- elefante";V;árv;;n;
Coffea arabica L.;cafeeiro;V;avt;;s;
Genipa americana L.;jenipapo;V;avt;;c;
Psychotria leiocarpa Cham. & Schltdl.;;H;avt;;n;
Psychotria suterella Müll.Arg.;;H;avt;;n;
RUTACEAE;;;;;;
Citrus sp.;;V;avt;;c;
SALICACEAE;;;;;;
Casearia sylvestris Sw.;guaçatonga, erva-de-lagarto;V;árv;;n;X
SAPINDACEAE;;;;;;
Allophylus sp.;;V;avt;;n;
Cupania oblongifolia Mart.;camboatá-de- folhas-largas;V;árv;;n;
Cupania vernalis Cambess.;"camboatá,
arco-de- peneira";V;árv;;n;
Paullinia carpopoda Cambess.;cipó-uva;H;tr;;n;
Paullinia sp.;;V;tr;;n;
Talisia esculenta (Cambess.) Radlk.;pitomba;H;árv;;c;
SMILACACEAE;;;;;;
Smilax sp.;;V;tr;;n;
SOLANACEAE;;;;;;
Cestrum schlechtendalii G.Don;coerana;H;arb;;n;
Solanum americanum Mill.;maria-pretinha;V;suba;;n;
Solanum granulosoleprosum Dunal;cuvitinga;V;árv;;n;X
Solanum sp.;;V;arb;;n;
URTICACEAE;;;;;;
Cecropia sp.;embaúba;V;árv;;n;
Pilea cadierei Gagnep. & Guillaumin;"alumínio,
pileia";V;ee;;i;
ZINGIBERACEAE;;;;;;
Hedychium coccineum Buch.-Ham. ex Sm.;lírio-do-brejo- vermelho;V;eriz;;c;
GIMNOSPERMAS;;;;;;
ARAUCARIACEAE;;;;;;
Araucaria angustifolia (Bertol.) Kuntze;pinheiro-do- paraná;V;árv;ENBR, ENSP;n;X
PINACEAE;;;;;;
Pinus sp.;;V;árv;;c;
PTERIDÓFITAS;;;;;;
BLECHNACEAE;;;;;;
Neoblechnum brasiliense (Desv.) Gasper & V.A.O.Dittrich;samambaia-do- brejo;V;eros;;n;
CYATHEACEAE;;;;;;
Cyathea sp.;samambaiuçu;V;fa;;n;
LYGODIACEAE;;;;;;
Lygodium volubile Sw.;;V;tr;;n;
